company_id,company,country,country_code,ca100,alignment_2030,alignment_2050,unit,cutoff_year,year,intensity_tco2_per_t,is_historical,data_type,source,source_file,source_url,accessed_date
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2031,1.382067367,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2032,1.309326979,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2033,1.236586591,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2034,1.163846204,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2035,1.091105816,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2036,1.018365428,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2037,0.945625041,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2038,0.872884653,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2039,0.800144265,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2040,0.727403877,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2041,0.65466349,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2042,0.581923102,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2043,0.509182714,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2044,0.436442326,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2045,0.363701939,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2046,0.290961551,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2047,0.218221163,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2048,0.145480775,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2049,0.072740388,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2050,0,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2019,1.91,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2020,1.87,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2021,1.87,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2022,1.861,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
