company,year,metric,value,unit,source_pdf,source_page,source_table,extraction_method,sha256,extracted_date,confidence,notes
ThyssenKrupp,2021,production_mt,11.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/thyssenkrupp/thyssenkrupp-GB-en-2020-2021-Web.pdf,67,,regex_text,9c3ed967782e03c98a3b737954d61304ca4a152807ee2c49cb7be41c00f2ec85,2026-01-28,high,ThyssenKrupp crude steel production: 11.0 million tons
ThyssenKrupp,2022,production_mt,11.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/thyssenkrupp/Annual-report-2021_2022-thyssenkrupp-AG.pdf,66,,regex_text,cb18412db0a73ac14f22d2cf1b7591ff0bc5cbfa7d369659914ac9eec659be87,2026-01-28,high,ThyssenKrupp crude steel production: 11.0 million tons
ThyssenKrupp,2023,production_mt,10.4,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/thyssenkrupp/Annual-Report-2022_2023_thyssenkrupp.pdf,71,,regex_text,80b63a70c643b485ab931cc6e5d8b64f9b286a9e535fc74558aea5fd5c6fdfda,2026-01-28,high,ThyssenKrupp crude steel production: 10.4 million tons
ThyssenKrupp,2024,production_mt,10.3,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/thyssenkrupp/Annual-report_2023-2024.pdf,65,,regex_text,35166c31a14fcc37ed942b31146ec483beafa2c33ef4b78028fa3a4d344fbf79,2026-01-28,high,ThyssenKrupp crude steel production: 10.3 million tons
ThyssenKrupp,2024,emissions_scope12_mt_co2,23.2,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/thyssenkrupp/Annual-report_2023-2024.pdf,88,,regex_text,35166c31a14fcc37ed942b31146ec483beafa2c33ef4b78028fa3a4d344fbf79,2026-01-28,high,ThyssenKrupp Scope 1+2: 23.2 million tons CO2e (company-wide)
JFE Holdings,2015,production_mt,100.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,3,,regex_text,258c41b552f2644725726dce74a1e5d4df432e38d9a55c349b07bddb57705f4f,2026-01-28,medium,Generic enhanced: crude steel output surpassed 100 million tons
JFE Holdings,2016,production_mt,100.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,17,,regex_text,648aea1f0f65d7e5c42fbf0b846f3884e47f396c22b6e4f39017203ae2bff3cb,2026-01-28,medium,"Generic enhanced: 100
million tons of crude steel"
JFE Holdings,2017,production_mt,3.041,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,27,25.0,table_pdfplumber,063cb42261903e375457f47453c8b1c42c213903fe326afc9aa8c955393455d8,2026-01-28,medium,"Generic table (kt): crude steel output (10,000 tons) 3,068 3,158 3,104 2,975 3,041"
JFE Holdings,2018,production_mt,30.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,13,,regex_text,e924042578982f7faedb5713f3070244c317aaa3dc440aeb6deac6d84aeaddeb,2026-01-28,medium,"Matched pattern in text, raw: 30 million t"
JFE Holdings,2019,production_mt,30.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,13,,regex_text,912a81f2c82939ccef4685798ab0f39f74281f1c448717694f52cd4b69e89eef,2026-01-28,medium,"Matched pattern in text, raw: 30 million t"
JFE Holdings,2020,production_mt,30.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,9,,regex_text,1fa26cf79f349019a990bce30e6d1895ef51742898deca6d5e55d2c15f7dfb1b,2026-01-28,medium,Generic enhanced: 30 million tons of crude steel
JFE Holdings,2021,production_mt,22.76,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jfe_holdings/all.pdf,14,,regex_text,5fc3ee5d73fcc80e81e6f1af476a6f77fe6aaa9adc8bf4eec146e88dd13c32d4,2026-01-28,medium,"Generic enhanced: crude steel output:
Plan, JFE issued a total of 210 billion yen in corporate bon"
Gerdau,2019,production_mt,5.6,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/Gerdau%20Integrated%20Report%202019_0.pdf,13,,regex_text,46ceb486e60ff08004e451643d87d90a371c6ab1580c17a09d540d665da3d00c,2026-01-28,medium,Generic enhanced: 5.6 million tons of crude steel
Gerdau,2019,emissions_scope12_mt_co2,85.0,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/Gerdau%20Integrated%20Report%202019_0.pdf,112,12.0,table_pdfplumber,46ceb486e60ff08004e451643d87d90a371c6ab1580c17a09d540d665da3d00c,2026-01-28,medium,Generic table: gri 305: emissions 2016 305-1 direct (scope 1) ghg emissions 85
Gerdau,2020,production_mt,12.5,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/Gerdau%202020%20Annual%20Report.pdf,12,,regex_text,5a2612d68431058da24ee9ab3dc3065208f329814a7228a244c0e8184c53dc10,2026-01-28,medium,Generic enhanced: production of 12.5 million tons
Gerdau,2021,emissions_scope12_mt_co2,2.021,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/Gerdau%20Annual%20Report%20-%202021.pdf,122,0.0,table_pdfplumber,e8ab2383f0df66b5b71ddcabc368241e1fe537ccb7a8e0cf0564c79bf7e26a7e,2026-01-28,medium,"Generic table (kt): gri 305-1 and sasb em-is-110a.1
gross direct (scope 1) ghg emissions in metric t"
Gerdau,2022,production_mt,12.7,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/2022%20Annual%20Report.pdf,12,,regex_text,bf3d1b34c2217b32f6e326ee83fa8179ad6c095107248980104267d9dfdd962d,2026-01-28,medium,Generic enhanced: 12.7 million tons of crude steel
Gerdau,2023,emissions_scope12_mt_co2,2.02,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/gerdau-annual-report-en-2023.pdf,125,0.0,table_pdfplumber,403c7bc289e49e17b36a8a3530890fc6d33ac545c3517a113c739503236d40d3,2026-01-28,medium,"Generic table (kt): gross direct (scope 1) ghg emissions
in metric tons of co equivalent
2 2020 2021"
Gerdau,2023,production_mt,16.0,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/gerdau/gerdau-annual-report-en-2023.pdf,144,2.0,table_pdfplumber,403c7bc289e49e17b36a8a3530890fc6d33ac545c3517a113c739503236d40d3,2026-01-28,medium,"Generic table: raw steel production, percentage from: (1) basic oxygen furnace processes,
(2) e"
