company,year,metric,value_apa,value_climate_trace,default_value,default_source,default_certainty,n_sources,source_spread_pct
Acciai Speciali Terni SpA,2025,emissions_mt_co2,,0.134,0.134,climate_trace,0.72,1.0,
Acciai Speciali Terni SpA,2025,production_mt,,0.742,0.742,climate_trace,0.72,1.0,
Acciaieria Arvedi SpA,2021,emissions_mt_co2,,1.44,1.44,climate_trace,0.7,1.0,
Acciaieria Arvedi SpA,2021,production_mt,,3.41,3.41,climate_trace,0.7,1.0,
Acciaieria Arvedi SpA,2022,emissions_mt_co2,,1.231,1.231,climate_trace,0.7,1.0,
Acciaieria Arvedi SpA,2022,production_mt,,2.916,2.916,climate_trace,0.7,1.0,
Acciaieria Arvedi SpA,2023,emissions_mt_co2,,1.206,1.206,climate_trace,0.72,1.0,
Acciaieria Arvedi SpA,2023,production_mt,,2.856,2.856,climate_trace,0.72,1.0,
Acciaieria Arvedi SpA,2024,emissions_mt_co2,,1.138,1.138,climate_trace,0.72,1.0,
Acciaieria Arvedi SpA,2024,production_mt,,2.694,2.694,climate_trace,0.72,1.0,
Acciaieria Arvedi SpA,2025,emissions_mt_co2,,0.929,0.929,climate_trace,0.72,1.0,
Acciaieria Arvedi SpA,2025,production_mt,,2.199,2.199,climate_trace,0.72,1.0,
Acciaierie Bertoli Safau SpA,2021,emissions_mt_co2,,0.07,0.07,climate_trace,0.7,1.0,
Acciaierie Bertoli Safau SpA,2021,production_mt,,0.872,0.872,climate_trace,0.7,1.0,
Acciaierie Bertoli Safau SpA,2022,emissions_mt_co2,,0.06,0.06,climate_trace,0.7,1.0,
Acciaierie Bertoli Safau SpA,2022,production_mt,,0.746,0.746,climate_trace,0.7,1.0,
Acciaierie Bertoli Safau SpA,2023,emissions_mt_co2,,0.058,0.058,climate_trace,0.72,1.0,
Acciaierie Bertoli Safau SpA,2023,production_mt,,0.731,0.731,climate_trace,0.72,1.0,
Acciaierie Bertoli Safau SpA,2024,emissions_mt_co2,,0.055,0.055,climate_trace,0.72,1.0,
Acciaierie Bertoli Safau SpA,2024,production_mt,,0.689,0.689,climate_trace,0.72,1.0,
Acciaierie Bertoli Safau SpA,2025,emissions_mt_co2,,0.045,0.045,climate_trace,0.72,1.0,
Acciaierie Bertoli Safau SpA,2025,production_mt,,0.563,0.563,climate_trace,0.72,1.0,
Acciaierie Venete SpA,2021,emissions_mt_co2,,0.237,0.237,climate_trace,0.7,1.0,
Acciaierie Venete SpA,2021,production_mt,,1.38,1.38,climate_trace,0.7,1.0,
Acciaierie Venete SpA,2022,emissions_mt_co2,,0.203,0.203,climate_trace,0.7,1.0,
Acciaierie Venete SpA,2022,production_mt,,1.18,1.18,climate_trace,0.7,1.0,
Acciaierie Venete SpA,2023,emissions_mt_co2,,0.199,0.199,climate_trace,0.72,1.0,
Acciaierie Venete SpA,2023,production_mt,,1.156,1.156,climate_trace,0.72,1.0,
Acciaierie Venete SpA,2024,emissions_mt_co2,,0.188,0.188,climate_trace,0.72,1.0,
Acciaierie Venete SpA,2024,production_mt,,1.09,1.09,climate_trace,0.72,1.0,
Acciaierie Venete SpA,2025,emissions_mt_co2,,0.153,0.153,climate_trace,0.72,1.0,
Acciaierie Venete SpA,2025,production_mt,,0.89,0.89,climate_trace,0.72,1.0,
Acciaierie d'italia SpA,2021,emissions_mt_co2,,11.1,11.1,climate_trace,0.7,1.0,
Acciaierie d'italia SpA,2021,production_mt,,5.842,5.842,climate_trace,0.7,1.0,
Acciaierie d'italia SpA,2022,emissions_mt_co2,,10.537,10.537,climate_trace,0.7,1.0,
Acciaierie d'italia SpA,2022,production_mt,,5.546,5.546,climate_trace,0.7,1.0,
Acciaierie d'italia SpA,2023,emissions_mt_co2,,10.43,10.43,climate_trace,0.72,1.0,
Acciaierie d'italia SpA,2023,production_mt,,5.489,5.489,climate_trace,0.72,1.0,
Acciaierie d'italia SpA,2024,emissions_mt_co2,,10.113,10.113,climate_trace,0.72,1.0,
Acciaierie d'italia SpA,2024,production_mt,,5.323,5.323,climate_trace,0.72,1.0,
Acciaierie d'italia SpA,2025,emissions_mt_co2,,9.864,9.864,climate_trace,0.72,1.0,
Acciaierie d'italia SpA,2025,production_mt,,5.192,5.192,climate_trace,0.72,1.0,
Acciaierie di Calvisano SpA,2021,emissions_mt_co2,,0.038,0.038,climate_trace,0.7,1.0,
Acciaierie di Calvisano SpA,2021,production_mt,,0.476,0.476,climate_trace,0.7,1.0,
Acciaierie di Calvisano SpA,2022,emissions_mt_co2,,0.033,0.033,climate_trace,0.7,1.0,
Acciaierie di Calvisano SpA,2022,production_mt,,0.407,0.407,climate_trace,0.7,1.0,
Acciaierie di Calvisano SpA,2023,emissions_mt_co2,,0.032,0.032,climate_trace,0.72,1.0,
Acciaierie di Calvisano SpA,2023,production_mt,,0.399,0.399,climate_trace,0.72,1.0,
Acciaierie di Calvisano SpA,2024,emissions_mt_co2,,0.03,0.03,climate_trace,0.72,1.0,
Acciaierie di Calvisano SpA,2024,production_mt,,0.376,0.376,climate_trace,0.72,1.0,
Acciaierie di Calvisano SpA,2025,emissions_mt_co2,,0.025,0.025,climate_trace,0.72,1.0,
Acciaierie di Calvisano SpA,2025,production_mt,,0.307,0.307,climate_trace,0.72,1.0,
Acciaierie di Sicilia SpA,2021,emissions_mt_co2,,0.032,0.032,climate_trace,0.7,1.0,
Acciaierie di Sicilia SpA,2021,production_mt,,0.396,0.396,climate_trace,0.7,1.0,
Acciaierie di Sicilia SpA,2022,emissions_mt_co2,,0.027,0.027,climate_trace,0.7,1.0,
Acciaierie di Sicilia SpA,2022,production_mt,,0.339,0.339,climate_trace,0.7,1.0,
Acciaierie di Sicilia SpA,2023,emissions_mt_co2,,0.027,0.027,climate_trace,0.72,1.0,
